Gênero,Idade,Escolaridade,Estado Civil,Renda,Frequência no Consumo,Benefícios da Mentoria,Meta Melhora o Progresso,Variedade Melhora a Experiência,Primeira Compra,Formato do Infoproduto,Área mais Consumida,Satisfação com o Produto,Disposição Financeira,Influência na Compra,Primeiro Contato,Motivação para Compra,Percepção da Experiência com o Produto,Indicaria o Produto
Feminino,25-34 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,4,4,4,Antes da pandemia,"Visual: Infográficos, figuras, página de vendas, site, Template e planilha",Educação,3,"Entre R$ 50,00 e R$ 100,00.",Preço,Recomendação de amigos ou colegas,Realização de objetivos de vida,3,4
Feminino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,1,4,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Finanças,3,"Acima de R$ 200,00",Conteúdo do infoproduto (tema/relevância),"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Facilidade de aprendizado online,4,4
Feminino,25-34 anos,Ensino Superior,Solteiro(a),"Acima de R$ 3.636,00 até R$ 6.000",5,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,4,"Entre R$ 100,00 e R$ 200,00",Conteúdo gratuito oferecido pelo produtor,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,4,4
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,4,4,2,Depois da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,4,"Acima de R$ 200,00",Avaliações e depoimentos de clientes,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter","Preparação para exames, concursos ou certificações",3,3
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",5,5,5,5,Antes da pandemia,Áudio: Áudiobook e podcast,Desenvolvimento Pessoal,4,"Entre R$ 100,00 e R$ 200,00",Conteúdo gratuito oferecido pelo produtor,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,4,5
Feminino,25-34 anos,Ensino Médio,Casado(a),"Acima de R$ 3.636,00 até R$ 6.000",3,5,4,4,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Finanças,2,"Entre R$ 100,00 e R$ 200,00",Garantia de devolução do dinheiro,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Ganhos financeiros,2,2
Masculino,25-34 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,3,"Entre R$ 100,00 e R$ 200,00","Qualidade da apresentação (vídeo, áudio, design, etc.)",Recomendação de amigos ou colegas,Mudar de Carreira (aprender uma nova profissão),4,4
Feminino,35-44 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",1,3,4,4,Antes da pandemia,Texto: PDF e E-book,Educação,2,"Acima de R$ 200,00",Conteúdo do infoproduto (tema/relevância),"Pesquisa em mecanismos de busca, como o Google",Aquisição de conhecimento específico,3,3
Masculino,35-44 anos,Ensino Médio,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",1,4,4,4,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,3,"Acima de R$ 200,00","Qualidade da apresentação (vídeo, áudio, design, etc.)","Pesquisa em mecanismos de busca, como o Google","Preparação para exames, concursos ou certificações",3,3
Masculino,25-34 anos,Pós-Graduação,Casado(a),"Acima de R$ 3.636,00 até R$ 6.000",5,5,3,4,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,5,"Acima de R$ 200,00",Conteúdo gratuito oferecido pelo produtor,"Por meio de anúncios online, como no Facebook ou Google Ads",Aquisição de conhecimento específico,3,5
